{'reviewUrl': 'https://www.glassdoor.com/Reviews/JBS-Reviews-E42634.htm', 'reviewCount': '3.9K'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Wayne-Sanderson-Farms-Reviews-E1857.htm', 'reviewCount': '786'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Perdue-Reviews-E2934.htm', 'reviewCount': '557'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/J-R-Simplot-Company-Reviews-E2858.htm', 'reviewCount': '493'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Dairy-Farmers-of-America-Reviews-E2900.htm', 'reviewCount': '469'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Ceva-Animal-Health-Reviews-E795524.htm', 'reviewCount': '310'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Seaboard-Foods-Reviews-E20088.htm', 'reviewCount': '139'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Alltech-Reviews-E466897.htm', 'reviewCount': '305'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Murphy-Brown-Reviews-E8427.htm', 'reviewCount': '26'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Aviagen-Reviews-E35920.htm', 'reviewCount': '127'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Peco-Foods-Reviews-E31946.htm', 'reviewCount': '119'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/The-Smithfield-Packing-Co-Reviews-E866367.htm', 'reviewCount': '122'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Seara-Alimentos-Reviews-E42654.htm', 'reviewCount': '1.3K'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Sadia-Reviews-E10944.htm', 'reviewCount': '189'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/San-Miguel-Reviews-E3507.htm', 'reviewCount': '260'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/ABS-Global-Reviews-E265073.htm', 'reviewCount': '45'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Cooper-Farms-Reviews-E27893.htm', 'reviewCount': '46'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Five-Rivers-Cattle-Feeding-Reviews-E100309.htm', 'reviewCount': '22'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Cal-Maine-Foods-Reviews-E6523.htm', 'reviewCount': '54'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Rose-Acre-Farms-Reviews-E15286.htm', 'reviewCount': '49'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Trans-Ova-Genetics-Reviews-E261654.htm', 'reviewCount': '33'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/The-Maschhoffs-Reviews-E668834.htm', 'reviewCount': '45'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/PIC-Reviews-E475417.htm', 'reviewCount': '34'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Hickman-s-Family-Farms-Reviews-E27858.htm', 'reviewCount': '33'}
{'reviewUrl': 'https://www.glassdoor.com/Reviews/Marfrig-Reviews-E43312.htm', 'reviewCount': '725'}
